	228
BROOKLYN             NY 11210-5427	1
BROOKLYN             NY 11210-5441	1
BROOKLYN             NY 11210-5442	1
BROOKLYN             NY 11211	58
BROOKLYN             NY 11211-0204	1
BROOKLYN             NY 11211-1124	1
BROOKLYN             NY 11211-1125	16
BROOKLYN             NY 11211-1211	7
BROOKLYN             NY 11211-1344	3
BROOKLYN             NY 11211-1502	1
BROOKLYN             NY 11211-1575	3
BROOKLYN             NY 11211-1708	2
BROOKLYN             NY 11211-1817	13
BROOKLYN             NY 11211-1818	2
BROOKLYN             NY 11211-1826	2
BROOKLYN             NY 11211-1842	1
BROOKLYN             NY 11211-2035	1
BROOKLYN             NY 11211-2204	1
BROOKLYN             NY 11211-2306	1
BROOKLYN             NY 11211-2316	1
BROOKLYN             NY 11211-2516	1
BROOKLYN             NY 11211-2603	2
BROOKLYN             NY 11211-2639	2
BROOKLYN             NY 11211-2707	1
BROOKLYN             NY 11211-2710	1
BROOKLYN             NY 11211-2881	16
BROOKLYN             NY 11211-2882	15
BROOKLYN             NY 11211-2883	17
BROOKLYN             NY 11211-3219	1
BROOKLYN             NY 11211-3505	1
BROOKLYN             NY 11211-3622	1
BROOKLYN             NY 11211-3666	2
BROOKLYN             NY 11211-4012	1
BROOKLYN             NY 11211-4123	1
BROOKLYN             NY 11211-4404	1
BROOKLYN             NY 11211-4409	1
BROOKLYN             NY 11211-4589	1
BROOKLYN             NY 11211-4919	1
BROOKLYN             NY 11211-5024	6
BROOKLYN             NY 11211-5329	5
BROOKLYN             NY 11211-5355	6
BROOKLYN             NY 11211-5771	1
BROOKLYN             NY 11211-6102	1
BROOKLYN             NY 11211-6130	1
BROOKLYN             NY 11211-6250	2
BROOKLYN             NY 11211-6306	2
BROOKLYN             NY 11211-6499	14
BROOKLYN             NY 11211-6514	1
BROOKLYN             NY 11211-6817	1
BROOKLYN             NY 11211-6919	1
BROOKLYN             NY 11211-7106	1
BROOKLYN             NY 11211-7107	2
BROOKLYN             NY 11211-7140	1
BROOKLYN             NY 11211-7311	1
BROOKLYN             NY 11211-7402	1
BROOKLYN             NY 11211-7410	2
BROOKLYN             NY 11211-7418	2
BROOKLYN             NY 11211-7474	5
BROOKLYN             NY 11211-7489	1
BROOKLYN             NY 11211-7787	1
BROOKLYN             NY 11211-7911	2
BROOKLYN             NY 11211-7983	1
BROOKLYN             NY 11211-8005	1
BROOKLYN             NY 11211-8091	1
BROOKLYN             NY 11211-8105	1
BROOKLYN             NY 11211-8109	2
BROOKLYN             NY 11211-8111	1
BROOKLYN             NY 11211-8112	1
BROOKLYN             NY 11211-8188	1
BROOKLYN             NY 11211-8369	1
BROOKLYN             NY 11211-8511	2
BROOKLYN             NY 11211-8742	6
BROOKLYN             NY 11211-8763	3
BROOKLYN             NY 11211-8919	31
BROOKLYN             NY 11211-9605	1
BROOKLYN             NY 11212	8
BROOKLYN             NY 11212-0960	1
BROOKLYN             NY 11212-1245	1
BROOKLYN             NY 11212-1247	1
BROOKLYN             NY 11212-1301	1
BROOKLYN             NY 11212-1461	1
BROOKLYN             NY 11212-1647	1
BROOKLYN             NY 11212-2202	1
BROOKLYN             NY 11212-2235	1
BROOKLYN             NY 11212-2429	1
BROOKLYN             NY 11212-2433	2
BROOKLYN             NY 11212-2550	1
BROOKLYN             NY 11212-3235	1
BROOKLYN             NY 11212-3248	1
BROOKLYN             NY 11212-3760	1
BROOKLYN             NY 11212-3900	1
BROOKLYN             NY 11212-4005	2
BROOKLYN             NY 11212-4024	1
BROOKLYN             NY 11212-4043	1
BROOKLYN             NY 11212-4286	1
BROOKLYN             NY 11212-4903	1
BROOKLYN             NY 11212-4943	1
BROOKLYN             NY 11212-5359	1
BROOKLYN             NY 11212-7128	1
BROOKLYN             NY 11212-7134	1
BROOKLYN             NY 11213	3
BROOKLYN             NY 11213-1105	1
BROOKLYN             NY 11213-1132	1
BROOKLYN             NY 11213-1732	1
BROOKLYN             NY 11213-2027	1
BROOKLYN             NY 11213-2502	2
BROOKLYN             NY 11213-2514	2
BROOKLYN             NY 11213-2601	1
BROOKLYN             NY 11213-2719	1
BROOKLYN             NY 11213-3310	4
BROOKLYN             NY 11213-3311	1
BROOKLYN             NY 11213-3333	1
BROOKLYN             NY 11213-3618	1
BROOKLYN             NY 11213-3670	1
BROOKLYN             NY 11213-3677	2
BROOKLYN             NY 11213-4108	1
BROOKLYN             NY 11213-4223	1
BROOKLYN             NY 11213-4228	1
BROOKLYN             NY 11213-4333	1
BROOKLYN             NY 11213-4337	1
BROOKLYN             NY 11213-4339	1
BROOKLYN             NY 11213-4435	1
BROOKLYN             NY 11213-4505	1
BROOKLYN             NY 11213-4543	1
BROOKLYN             NY 11213-4926	1
BROOKLYN             NY 11213-4930	1
BROOKLYN             NY 11213-5127	1
BROOKLYN             NY 11213-5244	1
BROOKLYN             NY 11213-5410	1
BROOKLYN             NY 11213-5554	1
BROOKLYN             NY 11214	93
BROOKLYN             NY 11214-0055	2
BROOKLYN             NY 11214-1064	5
BROOKLYN             NY 11214-1104	1
BROOKLYN             NY 11214-1110	1
BROOKLYN             NY 11214-1113	1
BROOKLYN             NY 11214-1116	1
BROOKLYN             NY 11214-1219	1
BROOKLYN             NY 11214-1306	1
BROOKLYN             NY 11214-1320	1
BROOKLYN             NY 11214-1407	1
BROOKLYN             NY 11214-1408	1
BROOKLYN             NY 11214-1613	1
BROOKLYN             NY 11214-1678	1
BROOKLYN             NY 11214-1804	2
BROOKLYN             NY 11214-1805	1
BROOKLYN             NY 11214-1810	1
BROOKLYN             NY 11214-1812	1
BROOKLYN             NY 11214-2016	1
BROOKLYN             NY 11214-2019	1
BROOKLYN             NY 11214-2139	2
BROOKLYN             NY 11214-2273	1
BROOKLYN             NY 11214-2306	1
BROOKLYN             NY 11214-2403	2
BROOKLYN             NY 11214-2409	1
BROOKLYN             NY 11214-2457	1
BROOKLYN             NY 11214-2501	1
BROOKLYN             NY 11214-2502	1
BROOKLYN             NY 11214-2507	1
BROOKLYN             NY 11214-2512	1
BROOKLYN             NY 11214-2604	2
BROOKLYN             NY 11214-2711	1
BROOKLYN             NY 11214-2719	1
BROOKLYN             NY 11214-2807	1
BROOKLYN             NY 11214-2811	1
BROOKLYN             NY 11214-3102	1
BROOKLYN             NY 11214-3112	1
BROOKLYN             NY 11214-3210	2
BROOKLYN             NY 11214-3211	1
BROOKLYN             NY 11214-3308	1
BROOKLYN             NY 11214-3407	1
BROOKLYN             NY 11214-3601	2
BROOKLYN             NY 11214-3608	1
BROOKLYN             NY 11214-3615	1
BROOKLYN             NY 11214-3706	1
BROOKLYN             NY 11214-3805	1
BROOKLYN             NY 11214-3813	1
BROOKLYN             NY 11214-3842	1
BROOKLYN             NY 11214-3852	1
BROOKLYN             NY 11214-3901	1
BROOKLYN             NY 11214-3905	1
BROOKLYN             NY 11214-4005	1
BROOKLYN             NY 11214-4049	1
BROOKLYN             NY 11214-4054	2
BROOKLYN             NY 11214-4102	2
BROOKLYN             NY 11214-4303	1
BROOKLYN             NY 11214-4365	2
BROOKLYN             NY 11214-4403	1
BROOKLYN             NY 11214-4406	1
BROOKLYN             NY 11214-4420	2
BROOKLYN             NY 11214-4430	1
BROOKLYN             NY 11214-4455	1
BROOKLYN             NY 11214-4506	1
BROOKLYN             NY 11214-4541	1
BROOKLYN             NY 11214-4601	2
BROOKLYN             NY 11214-4672	1
BROOKLYN             NY 11214-4692	1
BROOKLYN             NY 11214-4703	2
BROOKLYN             NY 11214-4712	1
BROOKLYN             NY 11214-4801	1
BROOKLYN             NY 11214-4804	1
BROOKLYN             NY 11214-4807	1
BROOKLYN             NY 11214-4905	1
BROOKLYN             NY 11214-5158	1
BROOKLYN             NY 11214-5301	3
BROOKLYN             NY 11214-5308	2
BROOKLYN             NY 11214-5319	1
BROOKLYN             NY 11214-5333	1
BROOKLYN             NY 11214-5406	1
BROOKLYN             NY 11214-5417	1
BROOKLYN             NY 11214-5450	2
BROOKLYN             NY 11214-5504	1
BROOKLYN             NY 11214-5505	10
BROOKLYN             NY 11214-5517	1
BROOKLYN             NY 11214-5527	1
BROOKLYN             NY 11214-5528	6
BROOKLYN             NY 11214-5701	1
BROOKLYN             NY 11214-5711	1
BROOKLYN             NY 11214-5801	2
BROOKLYN             NY 11214-5802	1
BROOKLYN             NY 11214-5804	3
BROOKLYN             NY 11214-5815	1
BROOKLYN             NY 11214-5907	2
BROOKLYN             NY 11214-6009	2
BROOKLYN             NY 11214-6105	1
BROOKLYN             NY 11214-6504	1
BROOKLYN             NY 11214-6505	1
BROOKLYN             NY 11214-6609	1
BROOKLYN             NY 11214-6613	1
BROOKLYN             NY 11214-6626	1
BROOKLYN             NY 11214-6727	1
BROOKLYN             NY 11214-6757	3
BROOKLYN             NY 11214-6811	1
BROOKLYN             NY 11214-6812	2
BROOKLYN             NY 11214-6816	1
BROOKLYN             NY 11214-6902	1
BROOKLYN             NY 11214-6905	1
BROOKLYN             NY 11214-6920	1
BROOKLYN             NY 11214-6922	1
BROOKLYN             NY 11214-7224	1
BROOKLYN             NY 11215	28
BROOKLYN             NY 11215-1003	1
BROOKLYN             NY 11215-1019	1
BROOKLYN             NY 11215-1022	2
BROOKLYN             NY 11215-1044	1
BROOKLYN             NY 11215-1101	1
BROOKLYN             NY 11215-1103	1
BROOKLYN             NY 11215-1117	1
BROOKLYN             NY 11215-1118	2
BROOKLYN             NY 11215-1169	2
BROOKLYN             NY 11215-1209	1
BROOKLYN             NY 11215-1257	1
BROOKLYN             NY 11215-1364	2
BROOKLYN             NY 11215-1371	1
BROOKLYN             NY 11215-1373	1
BROOKLYN             NY 11215-1442	2
BROOKLYN             NY 11215-1517	1
BROOKLYN             NY 11215-1518	1
BROOKLYN             NY 11215-1519	2
BROOKLYN             NY 11215-1662	2
BROOKLYN             NY 11215-1706	1
BROOKLYN             NY 11215-1767	2
BROOKLYN             NY 11215-1901	1
BROOKLYN             NY 11215-2002	2
BROOKLYN             NY 11215-2105	1
BROOKLYN             NY 11215-2106	1
BROOKLYN             NY 11215-2205	1
BROOKLYN             NY 11215-2267	1
BROOKLYN             NY 11215-2277	1
BROOKLYN             NY 11215-2302	1
BROOKLYN             NY 11215-2305	1
BROOKLYN             NY 11215-2324	1
BROOKLYN             NY 11215-2423	1
BROOKLYN             NY 11215-2434	1
BROOKLYN             NY 11215-2473	1
BROOKLYN             NY 11215-2479	1
BROOKLYN             NY 11215-2601	2
BROOKLYN             NY 11215-2607	1
BROOKLYN             NY 11215-2608	1
BROOKLYN             NY 11215-2612	1
BROOKLYN             NY 11215-2666	1
BROOKLYN             NY 11215-2705	1
BROOKLYN             NY 11215-2724	1
BROOKLYN             NY 11215-2805	1
BROOKLYN             NY 11215-2878	1
BROOKLYN             NY 11215-2896	1
BROOKLYN             NY 11215-2902	1
BROOKLYN             NY 11215-2908	1
BROOKLYN             NY 11215-2940	1
BROOKLYN             NY 11215-2959	1
BROOKLYN             NY 11215-2965	1
BROOKLYN             NY 11215-3002	2
BROOKLYN             NY 11215-3003	2
BROOKLYN             NY 11215-3006	2
BROOKLYN             NY 11215-3028	1
BROOKLYN             NY 11215-3043	1
BROOKLYN             NY 11215-3095	1
BROOKLYN             NY 11215-3105	1
BROOKLYN             NY 11215-3208	1
BROOKLYN             NY 11215-3213	1
BROOKLYN             NY 11215-3230	1
BROOKLYN             NY 11215-3301	1
BROOKLYN             NY 11215-3378	1
BROOKLYN             NY 11215-3401	1
BROOKLYN             NY 11215-3416	1
BROOKLYN             NY 11215-3617	1
BROOKLYN             NY 11215-3629	1
BROOKLYN             NY 11215-3662	1
BROOKLYN             NY 11215-3702	1
BROOKLYN             NY 11215-3708	2
BROOKLYN             NY 11215-3710	1
BROOKLYN             NY 11215-3906	1
BROOKLYN             NY 11215-3911	1
BROOKLYN             NY 11215-3916	2
BROOKLYN             NY 11215-3919	1
BROOKLYN             NY 11215-4004	1
BROOKLYN             NY 11215-4027	1
BROOKLYN             NY 11215-4116	1
BROOKLYN             NY 11215-4136	1
BROOKLYN             NY 11215-4153	1
BROOKLYN             NY 11215-4160	1
BROOKLYN             NY 11215-4205	1
BROOKLYN             NY 11215-4302	2
BROOKLYN             NY 11215-4307	1
BROOKLYN             NY 11215-4336	1
BROOKLYN             NY 11215-4384	1
BROOKLYN             NY 11215-4565	2
BROOKLYN             NY 11215-4702	1
BROOKLYN             NY 11215-4802	1
BROOKLYN             NY 11215-4806	1
BROOKLYN             NY 11215-4912	1
BROOKLYN             NY 11215-4983	1
BROOKLYN             NY 11215-4997	1
BROOKLYN             NY 11215-5005	1
BROOKLYN             NY 11215-5207	1
BROOKLYN             NY 11215-5271	1
BROOKLYN             NY 11215-5407	1
BROOKLYN             NY 11215-5440	1
BROOKLYN             NY 11215-5497	1
BROOKLYN             NY 11215-5701	1
BROOKLYN             NY 11215-5732	1
BROOKLYN             NY 11215-5810	34
BROOKLYN             NY 11215-5917	1
BROOKLYN             NY 11215-6094	1
BROOKLYN             NY 11215-6108	1
BROOKLYN             NY 11215-6110	1
BROOKLYN             NY 11215-6136	1
BROOKLYN             NY 11215-6157	1
BROOKLYN             NY 11215-6207	1
BROOKLYN             NY 11215-6225	7
BROOKLYN             NY 11215-6313	2
BROOKLYN             NY 11215-6379	1
BROOKLYN             NY 11215-6401	1
BROOKLYN             NY 11215-6409	1
BROOKLYN             NY 11215-6902	1
BROOKLYN             NY 11215-6904	1
BROOKLYN             NY 11215-7103	2
BROOKLYN             NY 11215-8065	1
BROOKLYN             NY 11215-8112	3
BROOKLYN             NY 11216	42
BROOKLYN             NY 11216-1107	1
BROOKLYN             NY 11216-1116	1
BROOKLYN             NY 11216-1281	1
BROOKLYN             NY 11216-1307	1
BROOKLYN             NY 11216-1327	1
BROOKLYN             NY 11216-1502	1
BROOKLYN             NY 11216-1590	1
BROOKLYN             NY 11216-1613	1
BROOKLYN             NY 11216-1708	1
BROOKLYN             NY 11216-1806	1
BROOKLYN             NY 11216-1901	1
BROOKLYN             NY 11216-1902	2
BROOKLYN             NY 11216-2101	2
BROOKLYN             NY 11216-2163	1
BROOKLYN             NY 11216-2202	1
BROOKLYN             NY 11216-2401	1
BROOKLYN             NY 11216-2416	1
BROOKLYN             NY 11216-2610	1
BROOKLYN             NY 11216-2672	1
BROOKLYN             NY 11216-2707	1
BROOKLYN             NY 11216-2805	1
BROOKLYN             NY 11216-2906	1
BROOKLYN             NY 11216-2953	1
BROOKLYN             NY 11216-3171	1
BROOKLYN             NY 11216-3403	1
BROOKLYN             NY 11216-3512	1
BROOKLYN             NY 11216-3604	1
BROOKLYN             NY 11216-3605	1
BROOKLYN             NY 11216-3906	2
BROOKLYN             NY 11216-3911	1
BROOKLYN             NY 11216-4105	1
BROOKLYN             NY 11216-4110	1
BROOKLYN             NY 11216-4194	2
BROOKLYN             NY 11216-4240	3
BROOKLYN             NY 11216-4298	2
BROOKLYN             NY 11216-4307	1
BROOKLYN             NY 11216-4546	1
BROOKLYN             NY 11216-4893	3
BROOKLYN             NY 11216-4894	3
BROOKLYN             NY 11216-6122	1
BROOKLYN             NY 11216-8804	4
BROOKLYN             NY 11216-8805	4
BROOKLYN             NY 11216-8855	1
BROOKLYN             NY 11217	29
BROOKLYN             NY 11217-1024	1
BROOKLYN             NY 11217-1107	1
BROOKLYN             NY 11217-1128	4
BROOKLYN             NY 11217-1129	4
BROOKLYN             NY 11217-1130	1
BROOKLYN             NY 11217-1131	2
BROOKLYN             NY 11217-1132	4
BROOKLYN             NY 11217-1134	4
BROOKLYN             NY 11217-1207	1
BROOKLYN             NY 11217-1269	1
BROOKLYN             NY 11217-1343	1
BROOKLYN             NY 11217-1484	1
BROOKLYN             NY 11217-1600	1
BROOKLYN             NY 11217-1806	2
BROOKLYN             NY 11217-1905	1
BROOKLYN             NY 11217-1906	1
BROOKLYN             NY 11217-2008	1
BROOKLYN             NY 11217-2016	1
BROOKLYN             NY 11217-2143	1
BROOKLYN             NY 11217-2144	2
BROOKLYN             NY 11217-2145	3
BROOKLYN             NY 11217-2202	2
BROOKLYN             NY 11217-2207	1
BROOKLYN             NY 11217-2208	1
BROOKLYN             NY 11217-2211	1
BROOKLYN             NY 11217-2254	1
BROOKLYN             NY 11217-2308	1
BROOKLYN             NY 11217-2402	1
BROOKLYN             NY 11217-2410	1
BROOKLYN             NY 11217-2505	1
BROOKLYN             NY 11217-2782	1
BROOKLYN             NY 11217-2788	1
BROOKLYN             NY 11217-2804	1
BROOKLYN             NY 11217-3020	1
BROOKLYN             NY 11217-3069	1
BROOKLYN             NY 11217-3198	1
BROOKLYN             NY 11217-3250	4
BROOKLYN             NY 11217-3303	1
BROOKLYN             NY 11217-3365	1
BROOKLYN             NY 11217-3432	4
BROOKLYN             NY 11217-3473	1
BROOKLYN             NY 11217-3509	1
BROOKLYN             NY 11217-3597	1
BROOKLYN             NY 11217-3622	1
BROOKLYN             NY 11217-3704	2
BROOKLYN             NY 11217-3744	2
BROOKLYN             NY 11217-3759	2
BROOKLYN             NY 11217-3767	11
BROOKLYN             NY 11217-3771	1
BROOKLYN             NY 11217-4070	1
BROOKLYN             NY 11217-5103	1
BROOKLYN             NY 11217-5707	6
BROOKLYN             NY 11218	14
BROOKLYN             NY 11218-0218	1
BROOKLYN             NY 11218-1009	1
BROOKLYN             NY 11218-1023	1
BROOKLYN             NY 11218-1111	1
BROOKLYN             NY 11218-1125	2
BROOKLYN             NY 11218-1207	9
BROOKLYN             NY 11218-1260	1
BROOKLYN             NY 11218-1261	1
BROOKLYN             NY 11218-1318	2
BROOKLYN             NY 11218-1344	1
BROOKLYN             NY 11218-1451	1
BROOKLYN             NY 11218-1604	1
BROOKLYN             NY 11218-1605	1
BROOKLYN             NY 11218-1754	1
BROOKLYN             NY 11218-1847	1
BROOKLYN             NY 11218-1901	1
BROOKLYN             NY 11218-1917	2
BROOKLYN             NY 11218-1927	1
BROOKLYN             NY 11218-1929	1
BROOKLYN             NY 11218-1931	2
BROOKLYN             NY 11218-1932	1
BROOKLYN             NY 11218-1934	1
BROOKLYN             NY 11218-1937	2
BROOKLYN             NY 11218-2011	1
BROOKLYN             NY 11218-2015	1
BROOKLYN             NY 11218-2016	1
BROOKLYN             NY 11218-2078	2
BROOKLYN             NY 11218-2206	1
BROOKLYN             NY 11218-2301	1
BROOKLYN             NY 11218-2700	1
BROOKLYN             NY 11218-3009	1
BROOKLYN             NY 11218-3035	1
BROOKLYN             NY 11218-3137	1
BROOKLYN             NY 11218-3305	3
BROOKLYN             NY 11218-3313	3
BROOKLYN             NY 11218-3317	1
BROOKLYN             NY 11218-3344	1
BROOKLYN             NY 11218-3511	1
BROOKLYN             NY 11218-3706	1
BROOKLYN             NY 11218-3708	2
BROOKLYN             NY 11218-3724	1
BROOKLYN             NY 11218-3750	1
BROOKLYN             NY 11218-3906	1
BROOKLYN             NY 11218-4004	1
BROOKLYN             NY 11218-4203	1
BROOKLYN             NY 11218-4223	1
BROOKLYN             NY 11218-4302	1
BROOKLYN             NY 11218-4344	1
BROOKLYN             NY 11218-4408	1
BROOKLYN             NY 11218-4501	1
BROOKLYN             NY 11218-4512	1
BROOKLYN             NY 11218-4515	1
BROOKLYN             NY 11218-4603	1
BROOKLYN             NY 11218-4910	1
BROOKLYN             NY 11218-4913	1
BROOKLYN             NY 11218-5243	1
BROOKLYN             NY 11218-5285	1
BROOKLYN             NY 11218-5515	1
BROOKLYN             NY 11218-5558	1
BROOKLYN             NY 11218-5605	1
BROOKLYN             NY 11218-5703	1
BROOKLYN             NY 11218-5708	1
BROOKLYN             NY 11218-5717	1
BROOKLYN             NY 11218-5719	1
BROOKLYN             NY 11218-5720	2
BROOKLYN             NY 11218-5861	1
BROOKLYN             NY 11218-5902	1
BROOKLYN             NY 11218-5904	2
BROOKLYN             NY 11218-5913	1
BROOKLYN             NY 11218-5966	1
BROOKLYN             NY 11219	50
BROOKLYN             NY 11219-0307	1
BROOKLYN             NY 11219-0312	1
BROOKLYN             NY 11219-1214	1
BROOKLYN             NY 11219-1309	2
BROOKLYN             NY 11219-1324	1
BROOKLYN             NY 11219-1336	1
BROOKLYN             NY 11219-1337	1
BROOKLYN             NY 11219-1406	3
BROOKLYN             NY 11219-1408	1
BROOKLYN             NY 11219-1512	1
BROOKLYN             NY 11219-1561	1
BROOKLYN             NY 11219-1604	2
BROOKLYN             NY 11219-1762	1
BROOKLYN             NY 11219-1833	2
BROOKLYN             NY 11219-2017	1
BROOKLYN             NY 11219-2055	1
BROOKLYN             NY 11219-2131	1
BROOKLYN             NY 11219-2243	1
BROOKLYN             NY 11219-2310	1
BROOKLYN             NY 11219-2533	1
BROOKLYN             NY 11219-2534	1
BROOKLYN             NY 11219-2539	1
BROOKLYN             NY 11219-2612	1
BROOKLYN             NY 11219-2633	1
BROOKLYN             NY 11219-2635	1
BROOKLYN             NY 11219-2652	1
BROOKLYN             NY 11219-2658	1
BROOKLYN             NY 11219-2675	6
BROOKLYN             NY 11219-2725	1
BROOKLYN             NY 11219-2741	1
BROOKLYN             NY 11219-2931	1
BROOKLYN             NY 11219-3011	2
BROOKLYN             NY 11219-3047	1
BROOKLYN             NY 11219-3088	3
BROOKLYN             NY 11219-3101	1
BROOKLYN             NY 11219-3111	1
BROOKLYN             NY 11219-3150	1
BROOKLYN             NY 11219-3162	2
BROOKLYN             NY 11219-3184	7
BROOKLYN             NY 11219-3248	1
BROOKLYN             NY 11219-3249	2
BROOKLYN             NY 11219-3344	1
BROOKLYN             NY 11219-3404	1
BROOKLYN             NY 11219-3429	1
BROOKLYN             NY 11219-3431	2
BROOKLYN             NY 11219-3474	1
BROOKLYN             NY 11219-3540	1
BROOKLYN             NY 11219-3632	2
BROOKLYN             NY 11219-3718	1
BROOKLYN             NY 11219-3745	1
BROOKLYN             NY 11219-3840	1
BROOKLYN             NY 11219-3857	1
BROOKLYN             NY 11219-3862	1
BROOKLYN             NY 11219-3956	1
BROOKLYN             NY 11219-3996	4
BROOKLYN             NY 11219-3997	1
BROOKLYN             NY 11219-4003	2
BROOKLYN             NY 11219-4017	1
BROOKLYN             NY 11219-4022	1
BROOKLYN             NY 11219-4023	1
BROOKLYN             NY 11219-4036	1
BROOKLYN             NY 11219-4047	2
BROOKLYN             NY 11219-4062	1
BROOKLYN             NY 11219-4104	1
BROOKLYN             NY 11219-4105	1
BROOKLYN             NY 11219-4116	1
BROOKLYN             NY 11219-4118	1
BROOKLYN             NY 11219-4119	1
BROOKLYN             NY 11219-4139	2
BROOKLYN             NY 11219-4140	1
BROOKLYN             NY 11219-4227	1
BROOKLYN             NY 11219-4228	1
BROOKLYN             NY 11219-4254	1
BROOKLYN             NY 11219-4278	2
BROOKLYN             NY 11219-4314	1
BROOKLYN             NY 11219-4408	1
BROOKLYN             NY 11219-4420	1
BROOKLYN             NY 11219-4505	1
BROOKLYN             NY 11219-4511	1
BROOKLYN             NY 11219-4522	1
BROOKLYN             NY 11219-4560	2
BROOKLYN             NY 11219-4646	1
BROOKLYN             NY 11219-4722	4
BROOKLYN             NY 11219-4737	1
BROOKLYN             NY 11219-4738	1
BROOKLYN             NY 11219-4746	2
BROOKLYN             NY 11219-4750	1
BROOKLYN             NY 11219-4824	1
BROOKLYN             NY 11219-4924	1
BROOKLYN             NY 11219-4929	1
BROOKLYN             NY 11219-5016	1
BROOKLYN             NY 11219-5020	1
BROOKLYN             NY 11219-5066	1
BROOKLYN             NY 11219-5214	1
BROOKLYN             NY 11219-5314	1
BROOKLYN             NY 11219-5319	1
BROOKLYN             NY 11219-5327	2
BROOKLYN             NY 11219-5339	1
BROOKLYN             NY 11219-5413	1
BROOKLYN             NY 11219-5425	1
BROOKLYN             NY 11219-5524	1
BROOKLYN             NY 11219-5660	1
BROOKLYN             NY 11219-5826	2
BROOKLYN             NY 11219-5827	1
BROOKLYN             NY 11219-5906	1
BROOKLYN             NY 11219-5911	1
BROOKLYN             NY 11219-5913	1
BROOKLYN             NY 11219-6036	1
BROOKLYN             NY 11219-6108	1
BROOKLYN             NY 11219-6198	1
BROOKLYN             NY 11219-6222	2
BROOKLYN             NY 11219-6232	1
BROOKLYN             NY 11219-6245	1
BROOKLYN             NY 11219-6263	6
BROOKLYN             NY 11220	18
BROOKLYN             NY 11220-1010	2
BROOKLYN             NY 11220-1112	1
BROOKLYN             NY 11220-1114	1
BROOKLYN             NY 11220-1151	2
BROOKLYN             NY 11220-1193	2
BROOKLYN             NY 11220-1212	1
BROOKLYN             NY 11220-1299	2
BROOKLYN             NY 11220-1303	1
BROOKLYN             NY 11220-1310	1
BROOKLYN             NY 11220-1361	1
BROOKLYN             NY 11220-1380	1
BROOKLYN             NY 11220-1413	2
BROOKLYN             NY 11220-1458	1
BROOKLYN             NY 11220-1468	1
BROOKLYN             NY 11220-1495	1
BROOKLYN             NY 11220-1510	1
BROOKLYN             NY 11220-1511	1
BROOKLYN             NY 11220-1512	3
BROOKLYN             NY 11220-1609	1
BROOKLYN             NY 11220-1676	1
BROOKLYN             NY 11220-1704	5
BROOKLYN             NY 11220-1715	2
BROOKLYN             NY 11220-1805	1
BROOKLYN             NY 11220-1807	1
BROOKLYN             NY 11220-1810	1
BROOKLYN             NY 11220-1812	2
BROOKLYN             NY 11220-2124	2
BROOKLYN             NY 11220-2217	1
BROOKLYN             NY 11220-2223	1
BROOKLYN             NY 11220-2276	1
BROOKLYN             NY 11220-2419	2
BROOKLYN             NY 11220-2560	2
BROOKLYN             NY 11220-2590	1
BROOKLYN             NY 11220-2602	1
BROOKLYN             NY 11220-2720	1
BROOKLYN             NY 11220-2721	1
BROOKLYN             NY 11220-2810	1
BROOKLYN             NY 11220-2814	1
BROOKLYN             NY 11220-2841	1
BROOKLYN             NY 11220-2870	1
BROOKLYN             NY 11220-2907	1
BROOKLYN             NY 11220-2909	1
BROOKLYN             NY 11220-2910	1
BROOKLYN             NY 11220-2912	1
BROOKLYN             NY 11220-3105	1
BROOKLYN             NY 11220-3106	1
BROOKLYN             NY 11220-3109	1
BROOKLYN             NY 11220-3113	1
BROOKLYN             NY 11220-3130	1
BROOKLYN             NY 11220-3201	1
BROOKLYN             NY 11220-3264	1
BROOKLYN             NY 11220-3285	1
BROOKLYN             NY 11220-3310	1
BROOKLYN             NY 11220-3410	1
BROOKLYN             NY 11220-3411	1
BROOKLYN             NY 11220-3505	1
BROOKLYN             NY 11220-3513	2
BROOKLYN             NY 11220-3514	1
BROOKLYN             NY 11220-3612	1
BROOKLYN             NY 11220-3616	2
BROOKLYN             NY 11220-3618	1
BROOKLYN             NY 11220-3671	1
BROOKLYN             NY 11220-3682	1
BROOKLYN             NY 11220-3691	3
BROOKLYN             NY 11220-3714	1
BROOKLYN             NY 11220-3716	1
BROOKLYN             NY 11220-3731	1
BROOKLYN             NY 11220-3797	1
BROOKLYN             NY 11220-3812	1
BROOKLYN             NY 11220-3914	1
BROOKLYN             NY 11220-3916	1
BROOKLYN             NY 11220-3917	2
BROOKLYN             NY 11220-3955	1
BROOKLYN             NY 11220-4110	1
BROOKLYN             NY 11220-4159	1
BROOKLYN             NY 11220-4235	1
BROOKLYN             NY 11220-4247	1
BROOKLYN             NY 11220-4310	1
BROOKLYN             NY 11220-4311	2
BROOKLYN             NY 11220-4322	1
BROOKLYN             NY 11220-4410	1
BROOKLYN             NY 11220-4414	1
BROOKLYN             NY 11220-4606	2
BROOKLYN             NY 11220-4613	1
BROOKLYN             NY 11220-4718	1
BROOKLYN             NY 11220-4823	1
BROOKLYN             NY 11220-4916	1
BROOKLYN             NY 11220-4973	1
BROOKLYN             NY 11220-4974	1
BROOKLYN             NY 11220-5010	1
BROOKLYN             NY 11220-5053	1
BROOKLYN             NY 11220-5054	1
BROOKLYN             NY 11220-5058	1
BROOKLYN             NY 11220-5114	1
BROOKLYN             NY 11220-5117	1
